# Fe I 5000.172 Å line profiles with different damping
# Wavelength(Å), Opacity_weak(cm⁻¹), Opacity_normal(cm⁻¹), Opacity_strong(cm⁻¹)
4999.542, 2.2767682237106296e-10, 7.60597878429719e-10, 2.2767682237106297e-8
4999.552, 2.350814055465332e-10, 7.853343017303757e-10, 2.350814055465332e-8
4999.562, 2.428531410535276e-10, 8.112972674674103e-10, 2.428531410535276e-8
4999.572, 2.510167091129756e-10, 8.385692246291859e-10, 2.510167091129756e-8
4999.582, 2.595988990980988e-10, 8.67239668229839e-10, 2.595988990980988e-8
4999.592, 2.6862882958364287e-10, 8.974058744257384e-10, 2.6862882958364287e-8
4999.602, 2.7813819565704053e-10, 9.291737267056246e-10, 2.7813819565704052e-8
4999.612, 2.881615474059942e-10, 9.626586462315302e-10, 2.881615474059942e-8
4999.622, 2.987366041811257e-10, 9.97986641693141e-10, 2.987366041811257e-8
4999.632, 3.099046099573317e-10, 1.0352954964602246e-9, 3.099046099573317e-8
4999.642, 3.2171073607512483e-10, 1.074736114016948e-9, 3.217107360751248e-8
4999.652, 3.3420453869801725e-10, 1.1164740461855739e-9, 3.342045386980172e-8
4999.662, 3.4744047968131007e-10, 1.1606912331880616e-9, 3.474404796813101e-8
4999.672, 3.614785210670091e-10, 1.2075879896697979e-9, 3.614785210670091e-8
4999.682, 3.763848053700934e-10, 1.2573852773257114e-9, 3.763848053700934e-8
4999.692, 3.922324360804912e-10, 1.3103273123160865e-9, 3.922324360804913e-8
4999.702, 4.0910237563152897e-10, 1.366684565101549e-9, 4.09102375631529e-8
4999.712, 4.2708448148293e-10, 1.4267572216760666e-9, 4.2708448148293e-8
4999.722, 4.4627870512110085e-10, 1.4908791890562376e-9, 4.4627870512110084e-8
4999.732, 4.667964839527256e-10, 1.5594227451674961e-9, 4.6679648395272556e-8
4999.742, 4.887623623606323e-10, 1.6328039542906187e-9, 4.887623623606323e-8
4999.752, 5.123158861006791e-10, 1.711488995656079e-9, 5.12315886100679e-8
4999.762, 5.376138240110883e-10, 1.7960015854881018e-9, 5.376138240110883e-8
4999.772, 5.648327832836471e-10, 1.886931713817249e-9, 5.648327832836471e-8
4999.782, 5.941723000364296e-10, 1.9849459691284464e-9, 5.941723000364296e-8
4999.792, 6.258585065520528e-10, 2.0907997894702933e-9, 6.258585065520528e-8
4999.802, 6.601485015126757e-10, 2.205352062059153e-9, 6.601485015126758e-8
4999.812, 6.97335581551701e-10, 2.329582600276089e-9, 6.97335581551701e-8
4999.822, 7.377555337293047e-10, 2.4646131648823147e-9, 7.377555337293047e-8
4999.832, 7.817942421770204e-10, 2.6117328754672017e-9, 7.817942421770203e-8
4999.842, 8.298969321349046e-10, 2.7724290919186984e-9, 8.298969321349046e-8
4999.852, 8.825794670351892e-10, 2.948425154487379e-9, 8.825794670351892e-8
4999.862, 9.404422366289292e-10, 3.141726779724134e-9, 9.404422366289291e-8
4999.872, 1.0041873384044616e-9, 3.3546794582876877e-9, 1.0041873384044616e-7
4999.882, 1.0746399758985197e-9, 3.5900399400868638e-9, 1.0746399758985198e-7
4999.892, 1.1527752996339194e-9, 3.8510659015556475e-9, 1.1527752996339193e-7
